PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;FECHA_INICIAL;FECHA_FINAL;VALOR
30;16;18;27;30016018_27_I;2022-06-07 00:00:00;2022-06-13 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-06-14 00:00:00;2022-06-20 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-06-21 00:00:00;2022-06-27 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-06-28 00:00:00;2022-07-04 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-07-05 00:00:00;2022-07-11 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-07-12 00:00:00;2022-07-18 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-07-19 00:00:00;2022-07-25 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-07-26 00:00:00;2022-08-01 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-08-02 00:00:00;2022-08-08 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-08-09 00:00:00;2022-08-15 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-08-16 00:00:00;2022-08-22 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-08-23 00:00:00;2022-08-29 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-08-30 00:00:00;2022-09-05 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-09-06 00:00:00;2022-09-12 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-09-13 00:00:00;2022-09-19 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-09-20 00:00:00;2022-09-26 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-09-27 00:00:00;2022-10-03 00:00:00;0.045
30;16;18;27;30016018_27_I;2022-10-04 00:00:00;2022-10-10 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-10-11 00:00:00;2022-10-17 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-10-18 00:00:00;2022-10-24 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-10-25 00:00:00;2022-10-31 00:00:00;0.227
30;16;18;27;30016018_27_I;2022-11-01 00:00:00;2022-11-07 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-11-08 00:00:00;2022-11-14 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-11-15 00:00:00;2022-11-21 00:00:00;0.02
30;16;18;27;30016018_27_I;2022-11-22 00:00:00;2022-11-28 00:00:00;0.175
30;16;18;27;30016018_27_I;2022-11-29 00:00:00;2022-12-05 00:00:00;0.204
30;16;18;27;30016018_27_I;2022-12-06 00:00:00;2022-12-12 00:00:00;0.191
30;16;18;27;30016018_27_I;2022-12-13 00:00:00;2022-12-19 00:00:00;0.141
30;16;18;27;30016018_27_I;2022-12-20 00:00:00;2022-12-26 00:00:00;0.184
30;16;18;27;30016018_27_I;2022-12-27 00:00:00;2023-01-02 00:00:00;0.261
50;59;1;30;50059001_30_I;2022-06-01 00:00:00;2022-06-13 00:00:00;0.11
50;59;1;30;50059001_30_I;2022-07-14 00:00:00;2022-07-25 00:00:00;0.12
50;59;1;30;50059001_30_I;2022-08-10 00:00:00;2022-08-23 00:00:00;0.1
50;59;1;30;50059001_30_I;2022-02-15 00:00:00;2022-02-25 00:00:00;0.33
50;59;1;30;50059001_30_I;2022-03-09 00:00:00;2022-03-21 00:00:00;0.39
50;59;1;30;50059001_30_I;2022-05-05 00:00:00;2022-05-16 00:00:00;0.12
